#TYPE Deserialized.System.ServiceProcess.ServiceController
"Name","RequiredServices","PSComputerName","RunspaceId","PSShowComputerName","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","Status","ServiceType","StartType","Site","Container"
"SEMgrSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Payments and NFC/SE Manager","",".","SEMgrSvc","RpcSs","Running","Win32OwnProcess","Manual",,
"SENS","EventSystem","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","System Event Notification Service","igfxCUIService2.0.0.0 COMSysApp",".","SENS","EventSystem","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SgrmBroker","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","False","System Guard Runtime Monitor Broker","",".","SgrmBroker","RpcSs","Running","Win32OwnProcess","Automatic",,
"ShellHWDetection","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Shell Hardware Detection","",".","ShellHWDetection","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Spooler","RPCSS http","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Print Spooler","Fax",".","Spooler","RPCSS http","Running","Win32OwnProcess, InteractiveProcess","Automatic",,
"SSDPSRV","HTTP NSI","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","SSDP Discovery","upnphost",".","SSDPSRV","HTTP NSI","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"SstpSvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Secure Socket Tunneling Protocol Service","RemoteAccess RasMan",".","SstpSvc","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"StateRepository","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","State Repository Service","AppXSvc",".","StateRepository","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"StorSvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Storage Service","",".","StorSvc","","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SysMain","rpcss fileinfo","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","SysMain","",".","SysMain","rpcss fileinfo","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SystemEventsBroker","RpcSs RpcEptMapper","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","System Events Broker",,".","SystemEventsBroker","RpcSs RpcEptMapper","Running","Win32ShareProcess","Automatic",,
"TabletInputService","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Touch Keyboard and Handwriting Panel Service","",".","TabletInputService","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Themes","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Themes","",".","Themes","","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"TimeBrokerSvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Time Broker",,".","TimeBrokerSvc","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"TokenBroker","UserManager","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Web Account Manager","",".","TokenBroker","UserManager","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"TrkWks","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Distributed Link Tracking Client","",".","TrkWks","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
